nombre,modelo,categoria,precio
Steelseries Teclado Gaming Apex Pro Tkl,Steelseries,Periférico,176.99
Logitech Ratón Inalámbrico Gaming G309,Logitech,Periférico,69.99
Logitech Ratón Inalámbrico Gaming G502 X Plus,Logitech,Periférico,159.99
Nvidia Geforce Rtx 4070 12gb Gddr6 Gpu,Nvidia,Componente,600.00
Amd Cpu Ryzen 7 7800x3d 5.0ghz,AMD,Componente,383.89
Aoc 27 inch 27g50f Ips Fhd,AOC,Monitor,109.99
"MSI MAG 275upd E14 27"" 4K UHD 144Hz",MSI,Monitor,269.99
G.Skill Trident Z5 RGB 32GB DDR5,G.Skill,Componente,570.00
Corsair Vengeance DDR5 RGB 32GB,Corsair,Componente,584.99
Samsung 990 Pro NVMe M.2 1TB,Samsung,Almacenamiento (SSD),180.00
Crucial MX500 SATA SSD 1TB,Crucial,Almacenamiento (SSD),89.00
WD Black SN850X NVMe M.2 1TB,Western Digital,Almacenamiento (SSD),120.00
Kingston A400 SATA SSD 960GB,Kingston,Almacenamiento (SSD),129.95
WD Blue SA510 SATA SSD 2TB,Western Digital,Almacenamiento (SSD),312.00
Seagate FireCuda 530 NVMe 1TB,Seagate,Almacenamiento (SSD),140.00
ADATA SU650 SATA SSD 480GB,ADATA,Almacenamiento (SSD),50.00
Corsair RM850e 850W 80 PLUS Gold,Corsair,Fuente de Poder,89.99
MSI MPG A850G 850W 80 Plus Gold,MSI,Fuente de Poder,110.00
Seasonic Core GX 850W 80 PLUS Gold,Seasonic,Fuente de Poder,101.53
Be Quiet! System Power 11 750W,Be Quiet!,Fuente de Poder,110.01
Thermaltake Smart BM3 650W Bronze,Thermaltake,Fuente de Poder,49.90
Gigabyte P550B 550W 80 PLUS Bronze,Gigabyte,Fuente de Poder,128.21
Asus TUF Gaming 550W Bronze,Asus,Fuente de Poder,66.00
Asus ROG Xbox Ally X 1TB,Asus,Computador Handheld,999.99
Valve Steam Deck OLED 512GB,Valve,Computador Handheld,549.00
"Lenovo Legion Go S 8.8""",Lenovo,Computador Handheld,699.00
MSI Claw A1M Intel Core Ultra,MSI,Computador Handheld,699.99
OneXPlayer OneXFly,OneXPlayer,Computador Handheld,799.00
Lenovo Legion Go 2,Lenovo,Computador Handheld,$899.00
